support,itemsets
0.3853641218325173,frozenset({'Accessories'})
0.3853641218325173,frozenset({'Accessory'})
0.14465762340793775,frozenset({'Alcohol'})
0.14637357435540893,frozenset({'Animal'})
0.9218650611677343,frozenset({'Apparel'})
0.11752784722119496,frozenset({'Architecture'})
0.11130012869632105,frozenset({'Arm'})
0.11761660330468485,frozenset({'Art'})
0.1606633037972811,frozenset({'Audience'})
0.14496826970015236,frozenset({'Automobile'})
0.05204065028623837,frozenset({'Baby'})
0.29955178177837605,frozenset({'Bar Counter'})
0.055620478986997235,frozenset({'Bartender'})
0.07480658570139495,frozenset({'Bed'})
0.20323663851126464,frozenset({'Beverage'})
0.10193636188813775,frozenset({'Blazer'})
0.10955459238768657,frozenset({'Blonde'})
0.07738051212260173,frozenset({'Blossom'})
0.052735906273575835,frozenset({'Boy'})
0.3283383381902635,frozenset({'Building'})
0.06013224656439994,frozenset({'Cafe'})
0.06252866081862694,frozenset({'Cafeteria'})
0.06201091699826926,frozenset({'Call of Duty'})
0.052232955133799795,frozenset({'Canine'})
0.14496826970015236,frozenset({'Car'})
0.18805934823449358,frozenset({'Chair'})
0.17365127734796823,frozenset({'Child'})
0.0895548882412982,frozenset({'City'})
0.0644812946554045,frozenset({'Clinic'})
0.9218650611677343,frozenset({'Clothing'})
0.5139421014482034,frozenset({'Coat'})
0.054363101137557136,frozenset({'Computer'})
0.06955518409490984,frozenset({'Couch'})
0.05542817413943581,frozenset({'Countryside'})
0.29418203872723775,frozenset({'Court'})
0.4621233413706898,frozenset({'Crowd'})
0.14805993994171684,frozenset({'Cushion'})
0.34614872561056786,frozenset({'Dating'})
0.054363101137557136,frozenset({'Dining Room'})
0.09711394801852044,frozenset({'Dining Table'})
0.13683229538024586,frozenset({'Display'})
0.11940651765506427,frozenset({'Door'})
0.060709161107084214,frozenset({'Dress'})
0.20323663851126464,frozenset({'Drink'})
0.051478528424135736,frozenset({'Driving'})
0.24109110811970236,frozenset({'Electronics'})
0.06959956213665479,frozenset({'Evening Dress'})
0.9015251253679679,frozenset({'Face'})
0.15307465865889558,frozenset({'Fashion'})
0.5942515643259715,frozenset({'Female'})
0.08064969453114598,frozenset({'Field'})
0.09380038756823124,frozenset({'Final Fantasy'})
0.15686158488779753,frozenset({'Finger'})
0.07738051212260173,frozenset({'Flower'})
0.2039910652209287,frozenset({'Food'})
0.08939216875490008,frozenset({'Food Court'})
0.564547861718022,frozenset({'Furniture'})
0.28375319891717576,frozenset({'Girl'})
0.13817842931317584,frozenset({'Glass'})
0.05227733317554474,frozenset({'Glasses'})
0.11304566500495555,frozenset({'Gown'})
0.22618008609340098,frozenset({'Grand Theft Auto'})
0.09402227777695596,frozenset({'Grass'})
0.4198754456295025,frozenset({'Hair'})
0.13616662475407168,frozenset({'Halo'})
0.08174435289418795,frozenset({'Hand'})
0.18184642239020132,frozenset({'Hat'})
0.46404638984630403,frozenset({'Head'})
0.19054451857221047,frozenset({'Home Decor'})
0.15152142719782252,frozenset({'Housing'})
0.10961376311001317,frozenset({'Hug'})
0.9999260365970918,frozenset({'Human'})
0.7734648895726395,frozenset({'Indoors'})
0.2890637712459875,frozenset({'Interior Design'})
